Countryname,ISO,WEO Country Code,Indicator,Units,Frequency,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010
Algeria,DZA,612,Intensive Margin,Index,Annual,3.79929,3.85362,4.01547,3.99202,4.17642,4.50166,4.41563,4.39337,4.50176,4.6303,5.03398,4.65885,5.12326,5.09428,5.09143,5.2443,5.23362,5.08886,4.97309,4.77528,4.4123,4.41225,4.30204,4.35379,4.29012,4.23063,3.89738,3.88228,3.91422,4.12622,4.05567,4.1121,4.12339,4.09006,4.16631,4.09419,4.09421,4.28104,4.8203,4.79614,4.87691,4.90116,5.0167,4.97384,5.00124,5.02299,4.9796,4.83253,4.81589
Ecuador,ECU,248,Intensive Margin,Index,Annual,3.17704,3.5087,3.43693,3.42009,3.39814,3.41477,3.40654,3.39337,3.38991,3.22444,3.01269,2.96074,3.31186,3.14085,3.05946,2.91735,3.05056,2.95745,2.96363,3.17287,3.23533,3.47197,3.34569,3.3201,3.06518,2.86875,2.94832,2.97987,3.02197,3.08082,3.0302,2.83633,2.7537,2.76579,2.69286,2.72728,2.70124,2.71294,2.85758,2.80537,2.86472,2.86478,3.16771,3.08659,3.12926,3.04444,3.20174,2.90658,3.02627
"Egypt, Arab Rep.",EGY,469,Intensive Margin,Index,Annual,3.11797,2.88906,2.85384,3.25103,3.18783,3.04665,2.7774,2.73764,2.90198,2.95255,2.76632,2.72171,2.93406,2.69046,2.76396,2.88685,3.18449,3.63776,3.97381,3.93771,3.94404,3.73602,3.84641,4.06924,3.501,3.44202,3.28131,3.3139,3.13975,2.77561,2.89737,2.76485,2.64565,2.56184,2.75897,2.45448,2.20506,2.30627,2.27008,2.02742,1.96895,1.84279,1.94754,2.15424,2.59951,2.47381,2.60041,2.38543,2.24942
Eritrea,ERI,643,Intensive Margin,Index,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.399514,3.88107,3.45474,3.0931,2.93198,2.68302,2.72676,2.6456,2.82065,2.68614,2.58234,2.49621,3.06297,2.40143,4.36086,2.81038,2.73214,2.70618
Spain,ESP,184,Intensive Margin,Index,Annual,2.23773,1.99764,1.95085,1.85818,1.92037,1.73868,1.61354,1.5004,1.44601,1.43878,1.41242,1.38415,1.2618,1.28024,1.25674,1.27972,1.27542,1.26538,1.25089,1.20352,1.26127,1.37209,1.42726,1.44279,1.40807,1.38605,1.35071,1.37592,1.44591,1.58168,1.5841,1.50376,1.56957,1.59736,1.55478,1.51805,1.53178,1.55157,1.57255,1.52584,1.55111,1.58319,1.61679,1.5825,1.55744,1.57733,1.5254,1.56031,1.48403
Estonia,EST,939,Intensive Margin,Index,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89797,2.13119,1.84322,1.71442,1.85041,1.92912,1.90988,2.01052,2.62033,2.22094,2.0783,2.07671,1.92639,2.00735,1.8995,1.64768,1.64214,1.64764,1.6992
Ethiopia(excludes Eritrea),ETH,644,Intensive Margin,Index,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78321,4.51816,4.3462,4.39518,4.49546,4.59195,4.26696,4.10632,3.69418,3.69308,3.77066,3.79632,3.90727,3.70126,3.70493,3.66436,3.70557,3.76103
Finland,FIN,172,Intensive Margin,Index,Annual,2.67365,2.79174,2.56097,2.46464,2.3871,2.31049,2.25369,2.15956,2.06678,2.04509,1.93415,1.96378,2.00379,1.8672,1.85573,1.83423,1.88157,1.85772,1.81214,1.74954,1.78584,1.825,1.85544,1.84053,1.76463,1.79432,1.79077,1.78016,1.76802,1.78605,1.79043,1.72313,1.70961,1.78772,1.7653,1.75445,1.94239,2.02871,2.16653,2.159,2.1054,1.98679,1.94062,2.11427,2.03623,1.79968,1.78187,1.71627,1.63272
Fiji,FJI,819,Intensive Margin,Index,Annual,2.27216,2.74278,2.60182,2.70947,2.67136,2.61006,2.88025,2.85842,2.63647,2.42409,2.82742,2.62424,2.57665,2.75338,2.92676,2.85652,2.94115,2.77895,2.89895,3.0887,3.03744,2.97564,2.81839,3.05758,2.94117,2.72124,2.71159,2.9453,3.00392,3.05407,3.06973,3.20851,3.26455,3.38567,3.28728,3.44904,3.36628,3.47252,3.41238,3.35196,3.24713,3.20746,3.20106,2.99872,2.97392,2.87168,2.88389,2.90172,2.93322
France,FRA,132,Intensive Margin,Index,Annual,0.995147,0.979043,0.954103,0.949863,0.96861,0.958286,1.00795,1.05846,1.06947,1.09899,1.12873,1.09671,1.03461,1.07335,1.10582,1.11897,1.129,1.13752,1.12715,1.13715,1.17296,1.16147,1.14861,1.14506,1.16234,1.2021,1.24339,1.28356,1.27825,1.33902,1.34391,1.35948,1.32957,1.33594,1.37002,1.41684,1.46377,1.51016,1.57386,1.57385,1.564,1.59251,1.59836,1.56574,1.57764,1.56321,1.54593,1.59358,1.56573
Faeroe Is.,FRO,816,Intensive Margin,Index,Annual,0.232467,,6.19848,4.96968,4.9104,4.98591,4.60239,,1.30289,4.8653,4.66926,3.92842,4.68523,4.48174,4.45389,4.30484,4.36857,4.4197,4.51518,4.52232,4.66043,4.57388,4.61803,4.63236,4.7418,4.65879,4.42637,4.52186,4.88889,4.96359,4.89145,4.94709,4.82963,4.75108,4.74289,4.90608,4.84338,4.8167,4.73585,4.6536,4.55013,4.547,4.62787,4.78761,4.41128,4.48997,4.44913,5.00411,5.11419
Gabon,GAB,646,Intensive Margin,Index,Annual,2.58362,2.37798,2.26404,2.27232,2.28349,2.3237,2.35964,2.43742,2.35872,2.40571,2.40248,2.44363,2.89567,2.93435,2.87741,2.91688,2.85498,2.90291,3.26621,3.27418,3.2791,3.27708,3.42357,3.37937,3.14409,3.09538,3.02761,3.08561,3.24939,3.29676,3.21861,3.27716,3.1985,3.17991,3.14401,3.17956,3.05545,3.15832,3.25155,3.15544,3.10512,3.16499,3.12878,3.11056,3.00499,3.00772,2.94185,2.95365,3.10362
United Kingdom,GBR,112,Intensive Margin,Index,Annual,1.32712,1.2107,1.16674,1.17952,1.20141,1.16907,1.19122,1.19064,1.16523,1.19228,1.18098,1.15908,1.10398,1.12194,1.15332,1.18373,1.20965,1.29108,1.37959,1.56699,1.61906,1.64943,1.72419,1.71624,1.45104,1.42705,1.35704,1.35774,1.38758,1.40619,1.41836,1.50012,1.47274,1.48896,1.53718,1.54609,1.56259,1.66245,1.77152,1.73734,1.7377,1.72935,1.72609,1.73075,1.7317,1.73274,1.74936,1.74967,1.72836
Georgia,GEO,915,Intensive Margin,Index,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47176,3.15127,3.23442,3.26324,2.20921,2.3539,2.35646,2.39051,2.56718,2.67319,2.6245,2.80902,2.97939,2.75306,2.98508,2.73025,2.94588,2.79217,2.89849
Ghana,GHA,652,Intensive Margin,Index,Annual,4.11006,3.94924,3.78309,3.72708,3.60917,3.7044,3.99016,4.00672,4.17584,3.98267,4.01664,3.86058,4.06124,4.09676,4.00644,4.14095,4.21152,4.42229,4.41335,4.2477,4.58755,4.22309,3.99991,3.97005,4.0275,4.0817,3.95014,3.83817,3.64164,3.67786,3.74301,3.5363,3.48367,3.36458,3.25542,3.35524,3.09276,3.0418,3.15707,3.20777,3.18214,3.15731,3.20789,2.97051,3.04524,3.02445,3.08571,3.15198,3.20354
